Ranking,LargoTitulo,Etiqueta,Categoria,Frecuencia
0, 7,Archivada,Local Businesses,1
0, 6,Opiniones,Local Businesses,1
0, 18,Particulares,Dining Out,1
0, 7,Particulares,Environment,1
0, 18,No respondibles,Politics & Government,1
0, 14,No respondibles,Education & Reference,1
0, 12,Archivada,Science & Mathematics,1
0, 16,No respondibles,Travel,1
0, 14,Opiniones,Politics & Government,1
0, 9,Web y Archivada,Travel,1
0, 18,Particulares,News & Events,1
0, 15,No respondibles,News & Events,1
0, 14,Opiniones,Beauty & Style,1
0, 11,Archivada,Consumer Electronics,1
0, 15,Particulares,News & Events,1
1,3,Particulares,Travel,1
0, 4,Archivada,Beauty & Style,1
0, 13,Particulares,Arts & Humanities,1
0, 21,Otros,Social Science,1
1,3,Particulares,Health,1
0, 8,Opiniones,Society & Culture,1
1,4,Particulares,Beauty & Style,1
0, 5,Particulares,Pets,1
0, 6,Particulares,Games & Recreation,1
0, 9,Particulares,Games & Recreation,1
0, 11,Archivada,Education & Reference,1
0, 10,Opiniones,Entertainment & Music,1
1,9,Opiniones,Travel,1
0, 21,Complejas,News & Events,1
0, 8,Opiniones,Health,1
1,10,Archivada,Travel,1
0, 4,Particulares,Education & Reference,1
0, 24,Particulares,Health,1
0, 14,Particulares,Sports,1
0, 5,Particulares,Food & Drink,1
0, 8,Complejas,Politics & Government,1
0, 10,No respondibles,Science & Mathematics,1
0, 10,Opiniones,Entertainment & Music,1
0, 11,Archivada,Consumer Electronics,1
0, 17,Complejas,Environment,1
0, 9,No respondibles,Science & Mathematics,1
0, 5,Opiniones,Games & Recreation,1
0, 14,Particulares,Cars & Transportation,1
0, 17,Opiniones,Pregnancy & Parenting,1
0, 13,Opiniones,Politics & Government,1
0, 25,Complejas,Society & Culture,1
0, 23,No respondibles,Society & Culture,1
0, 5,Archivada,News & Events,1
0, 5,Opiniones,Food & Drink,1
0, 12,Particulares,News & Events,1
0, 8,Particulares,Health,1
0, 10,Opiniones,Family & Relationships,1
0, 8,Particulares,Social Science,1
0, 11,Particulares,Society & Culture,1
0, 24,Archivada,Environment,1
1,3,Archivada,Travel,1
0, 13,Particulares,News & Events,1
0, 14,Complejas,Social Science,1
0, 7,Archivada,Yahoo Products,1
0, 6,Archivada,Arts & Humanities,1
0, 7,Opiniones,Entertainment & Music,1
0, 22,Opiniones,News & Events,1
0, 14,Opiniones,Family & Relationships,1
1,2,Archivada,Science & Mathematics,1
0, 9,Opiniones,Games & Recreation,1
0, 16,Complejas,Pregnancy & Parenting,1
1,7,Opiniones,Business & Finance,1
0, 12,Opiniones,Family & Relationships,1
1,5,Opiniones,Social Science,1
1,2,Archivada,Computers & Internet,1
0, 16,Archivada,Cars & Transportation,1
0, 20,Archivada,Society & Culture,1
0, 9,Opiniones,Arts & Humanities,1
0, 14,Complejas,Social Science,1
0, 7,Archivada,Pets,1
0, 12,Opiniones,Society & Culture,1
0, 4,Particulares,Health,1
0, 6,Archivada,Politics & Government,1
0, 10,Particulares,News & Events,1
0, 27,Archivada,Pregnancy & Parenting,1
0, 13,Particulares,Travel,1
0, 11,Particulares,Politics & Government,1
1,5,Particulares,Home & Garden,1
0, 24,Opiniones,Society & Culture,1
0, 22,Complejas,Environment,1
0, 8,Opiniones,Cars & Transportation,1
0, 23,No respondibles,Family & Relationships,1
0, 3,Particulares,Cars & Transportation,1
0, 8,No respondibles,Beauty & Style,1
0, 21,Opiniones,Society & Culture,1
0, 26,Archivada,Pregnancy & Parenting,1
0, 9,Particulares,Computers & Internet,1
1,4,Particulares,Pregnancy & Parenting,1
0, 9,Archivada,Science & Mathematics,1
1,3,Archivada,Society & Culture,1
0, 4,Archivada,Science & Mathematics,1
0, 12,Complejas,Science & Mathematics,1
1,7,Archivada,Yahoo Products,1
0, 7,Archivada,Consumer Electronics,1
0, 5,Archivada,Science & Mathematics,1
0, 17,Opiniones,Entertainment & Music,1
0, 6,Archivada,Health,1
0, 12,Opiniones,Consumer Electronics,1
0, 16,Complejas,News & Events,1
0, 6,Particulares,Health,1
0, 22,Opiniones,News & Events,1
0, 3,Particulares,Consumer Electronics,1
0, 7,Particulares,Education & Reference,1
0, 7,Particulares,Cars & Transportation,1
0, 13,Opiniones,Education & Reference,1
0, 6,Opiniones,Arts & Humanities,1
0, 14,Archivada,Environment,1
0, 7,Archivada,Games & Recreation,1
0, 18,Archivada,Science & Mathematics,1
0, 7,Particulares,Society & Culture,1
0, 12,Particulares,Sports,1
0, 24,Complejas,Health,1
0, 17,Particulares,Politics & Government,1
0, 25,Opiniones,Family & Relationships,1
0, 9,Particulares,Travel,1
0, 10,Opiniones,News & Events,1
0, 7,Particulares,Consumer Electronics,1
1,9,Particulares,Business & Finance,1
0, 4,Archivada,Travel,1
0, 7,Particulares,Family & Relationships,1
0, 6,Archivada,Science & Mathematics,1
0, 7,Archivada,Environment,1
0, 9,Archivada,Pets,1
0, 3,Particulares,Cars & Transportation,1
0, 6,Archivada,Consumer Electronics,1
0, 5,Archivada,Cars & Transportation,1
0, 10,Archivada,Local Businesses,1
0, 28,Opiniones,Local Businesses,1
0, 7,Particulares,Home & Garden,1
0, 8,Particulares,Education & Reference,1
0, 6,Particulares,Entertainment & Music,1
0, 15,Archivada,Family & Relationships,1
0, 12,Particulares,Local Businesses,1
0, 10,Particulares,Arts & Humanities,1
0, 3,Particulares,Social Science,1
0, 12,Particulares,Business & Finance,1
0, 4,Archivada,Computers & Internet,1
1,3,Particulares,Consumer Electronics,1
0, 10,Particulares,Travel,1
0, 8,Opiniones,Pregnancy & Parenting,1
0, 10,Opiniones,Games & Recreation,1
0, 9,Particulares,Business & Finance,1
1,2,Opiniones,Education & Reference,1
1,4,Archivada,Home & Garden,1
0, 11,Particulares,Games & Recreation,1
0, 17,Particulares,Travel,1
0, 7,Archivada,Pets,1
0, 6,Particulares,Dining Out,1
0, 7,Particulares,Family & Relationships,1
1,6,Opiniones,Education & Reference,1
0, 7,Particulares,Consumer Electronics,1
0, 18,Archivada,Education & Reference,1
0, 4,Particulares,Business & Finance,1
0, 12,Archivada,Social Science,1
0, 8,Opiniones,Entertainment & Music,1
0, 8,Opiniones,Consumer Electronics,1
0, 11,Opiniones,Beauty & Style,1
0, 6,Particulares,Family & Relationships,1
0, 12,Archivada,Yahoo Products,1
0, 15,Archivada,Health,1
0, 12,Archivada,Arts & Humanities,1
0, 11,Particulares,Arts & Humanities,1
1,5,Archivada,Pets,1
0, 10,Opiniones,Food & Drink,1
0, 4,Particulares,Family & Relationships,1
0, 6,Particulares,Education & Reference,1
0, 4,Archivada,Cars & Transportation,1
0, 17,Opiniones,Pregnancy & Parenting,1
1,21,Archivada,Cars & Transportation,1
0, 10,Opiniones,Arts & Humanities,1
0, 5,Archivada,Business & Finance,1
0, 15,Archivada,Family & Relationships,1
0, 11,Opiniones,Games & Recreation,1
0, 15,Particulares,Pets,1
0, 11,Opiniones,Sports,1
0, 9,Particulares,Arts & Humanities,1
0, 18,Particulares,Business & Finance,1
0, 18,Particulares,Business & Finance,1
0, 11,Opiniones,Sports,1
1,7,Particulares,Home & Garden,1
0, 12,Particulares,Entertainment & Music,1
0, 14,Particulares,Arts & Humanities,1
0, 29,No respondibles,Politics & Government,1
0, 10,No respondibles,Social Science,1
0, 10,Opiniones,Sports,1
0, 6,Particulares,Family & Relationships,1
1,5,Particulares,Health,1
0, 13,Particulares,Education & Reference,1
0, 16,Particulares,Sports,1
0, 8,No respondibles,Environment,1
0, 8,No respondibles,Science & Mathematics,1
0, 14,Archivada,Pets,1
0, 5,Opiniones,Travel,1
0, 24,Opiniones,Travel,1
0, 2,Complejas,Social Science,1
0, 5,Particulares,Beauty & Style,1
0, 10,Opiniones,Pregnancy & Parenting,1
1,9,Particulares,Science & Mathematics,1
0, 12,Particulares,Environment,1
0, 10,No respondibles,Politics & Government,1
1,4,Opiniones,Environment,1
0, 9,No respondibles,Social Science,1
0, 20,Opiniones,Family & Relationships,1
1,4,Opiniones,Social Science,1
0, 19,Opiniones,Society & Culture,1
0, 9,Opiniones,Society & Culture,1
0, 6,Particulares,Pets,1
0, 6,Particulares,News & Events,1
0, 20,Particulares,Society & Culture,1
0, 15,Particulares,Arts & Humanities,1
0, 10,Particulares,Sports,1
0, 12,Particulares,Dining Out,1
0, 4,Archivada,Pets,1
0, 9,No respondibles,Food & Drink,1
0, 11,Opiniones,Business & Finance,1
1,16,Complejas,Politics & Government,1
0, 10,Opiniones,Politics & Government,1
0, 21,Opiniones,Social Science,1
0, 7,Opiniones,Beauty & Style,1
0, 24,Opiniones,Pregnancy & Parenting,1
0, 13,Particulares,Home & Garden,1
0, 8,Opiniones,Business & Finance,1
0, 15,Opiniones,Arts & Humanities,1
0, 12,No respondibles,Games & Recreation,1
0, 13,No respondibles,Society & Culture,1
0, 7,Complejas,Environment,1
0, 13,Opiniones,Education & Reference,1
0, 5,Opiniones,Health,1
0, 7,Archivada,Local Businesses,1
0, 6,Opiniones,Pregnancy & Parenting,1
0, 23,Opiniones,Society & Culture,1
0, 12,Opiniones,Pregnancy & Parenting,1
0, 12,Opiniones,Sports,1
0, 11,Complejas,Environment,1
0, 7,No respondibles,Society & Culture,1
0, 9,Opiniones,Pets,1
0, 17,Opiniones,Pets,1
0, 18,Archivada,Health,1
0, 11,Archivada,Science & Mathematics,1
0, 23,Opiniones,Politics & Government,1
0, 8,No respondibles,Society & Culture,1
1,4,Opiniones,Food & Drink,1
0, 7,Particulares,Science & Mathematics,1
0, 10,Opiniones,Health,1
0, 15,Particulares,Politics & Government,1
0, 12,Opiniones,Pets,1
0, 19,Opiniones,Politics & Government,1
0, 12,Opiniones,Beauty & Style,1
0, 23,Opiniones,Social Science,1
0, 9,Archivada,Consumer Electronics,1
0, 11,Opiniones,Health,1
0, 21,Opiniones,News & Events,1
0, 21,Opiniones,Sports,1
0, 19,Complejas,Society & Culture,1
0, 7,Particulares,Arts & Humanities,1
0, 10,Particulares,Pets,1
0, 9,Opiniones,Consumer Electronics,1
0, 8,Particulares,Health,1
1,10,Archivada,Home & Garden,1
0, 8,No respondibles,Science & Mathematics,1
0, 16,Archivada,Pregnancy & Parenting,1
0, 12,Particulares,Business & Finance,1
0, 8,Opiniones,Pregnancy & Parenting,1
0, 7,Particulares,Society & Culture,1
0, 6,Archivada,Health,1
0, 15,Particulares,Travel,1
0, 9,Particulares,Entertainment & Music,1
1,2,Opiniones,Games & Recreation,1
0, 19,Opiniones,Society & Culture,1
0, 4,Particulares,Local Businesses,1
0, 2,Web y Archivada,Entertainment & Music,1
0, 8,Opiniones,Travel,1
0, 20,No respondibles,Consumer Electronics,1
0, 27,Opiniones,Family & Relationships,1
0, 3,Opiniones,Society & Culture,1
0, 13,No respondibles,Entertainment & Music,1
0, 8,Opiniones,Travel,1
0, 7,Particulares,Pets,1
0, 14,Particulares,Pets,1
0, 18,Archivada,Science & Mathematics,1
0, 5,Opiniones,Pets,1
0, 12,Particulares,Cars & Transportation,1
0, 11,Particulares,Travel,1
0, 11,Complejas,Society & Culture,1
0, 7,Opiniones,Entertainment & Music,1
0, 8,Archivada,Computers & Internet,1
0, 7,Opiniones,Beauty & Style,1
0, 3,Particulares,Dining Out,1
0, 12,Opiniones,Food & Drink,1
0, 24,Particulares,Business & Finance,1
0, 5,Opiniones,Beauty & Style,1
0, 22,Opiniones,Politics & Government,1
0, 8,Archivada,Cars & Transportation,1
1,2,Archivada,Consumer Electronics,1
0, 17,Opiniones,News & Events,1
0, 10,Particulares,Consumer Electronics,1
0, 18,Opiniones,Food & Drink,1
0, 21,Opiniones,Pregnancy & Parenting,1
0, 4,Archivada,Social Science,1
0, 9,Particulares,Dining Out,1
0, 8,Opiniones,Politics & Government,1
0, 15,Complejas,Environment,1
0, 4,Particulares,Arts & Humanities,1
0, 14,Particulares,Home & Garden,1
1,7,Opiniones,Home & Garden,1
0, 15,Particulares,Home & Garden,1
0, 9,Opiniones,Education & Reference,1
0, 13,Particulares,Cars & Transportation,1
0, 21,Particulares,News & Events,1
0, 12,Opiniones,Social Science,1
0, 6,Opiniones,News & Events,1
0, 5,Particulares,Sports,1
0, 5,No respondibles,Dining Out,1
0, 16,Opiniones,Family & Relationships,1
0, 11,Particulares,Health,1
0, 2,Particulares,Pets,1
0, 3,Archivada,Pregnancy & Parenting,1
0, 5,Opiniones,Food & Drink,1
0, 10,Opiniones,Society & Culture,1
0, 11,Particulares,Games & Recreation,1
0, 9,Opiniones,Travel,1
0, 26,Complejas,Environment,1
0, 31,Opiniones,Science & Mathematics,1
1,3,Opiniones,Health,1
0, 12,Opiniones,Social Science,1
0, 4,Opiniones,Beauty & Style,1
0, 14,Opiniones,Family & Relationships,1
0, 13,Opiniones,Education & Reference,1
0, 15,Particulares,Social Science,1
0, 7,Opiniones,Business & Finance,1
1,6,No respondibles,Family & Relationships,1
0, 12,Particulares,Beauty & Style,1
0, 9,Archivada,Computers & Internet,1
0, 2,Opiniones,Health,1
0, 25,Particulares,Computers & Internet,1
0, 9,Opiniones,Entertainment & Music,1
0, 7,Opiniones,Games & Recreation,1
0, 9,Opiniones,Travel,1
0, 15,Opiniones,Family & Relationships,1
0, 22,Opiniones,News & Events,1
0, 7,Particulares,Travel,1
0, 23,Opiniones,Home & Garden,1
1,4,Particulares,Computers & Internet,1
0, 22,Particulares,Games & Recreation,1
0, 21,Archivada,Yahoo Products,1
1,7,Particulares,Dining Out,1
0, 18,Opiniones,Dining Out,1
0, 8,Particulares,Local Businesses,1
0, 28,Particulares,Education & Reference,1
0, 7,Opiniones,Travel,1
1,11,Opiniones,Society & Culture,1
0, 3,Opiniones,Games & Recreation,1
0, 9,Opiniones,Games & Recreation,1
0, 24,Opiniones,Dining Out,1
0, 9,Particulares,Travel,1
1,17,Archivada,Sports,1
2,2,Particulares,Environment,1
0, 10,Opiniones,Consumer Electronics,1
0, 9,Opiniones,Games & Recreation,1
0, 7,Particulares,Games & Recreation,1
0, 27,Opiniones,Education & Reference,1
0, 11,Opiniones,Arts & Humanities,1
0, 6,Opiniones,Beauty & Style,1
0, 11,Particulares,Environment,1
0, 11,Opiniones,Travel,1
0, 14,No respondibles,Consumer Electronics,1
0, 10,Particulares,Entertainment & Music,1
0, 15,Opiniones,News & Events,1
0, 4,Archivada,Social Science,1
0, 12,Opiniones,News & Events,1
0, 2,Particulares,Health,1
1,9,Opiniones,Cars & Transportation,1
0, 5,Archivada,Games & Recreation,1
0, 12,Archivada,Games & Recreation,1
0, 7,Particulares,Travel,1
0, 19,Opiniones,Business & Finance,1
0, 16,Particulares,Sports,1
1,7,Opiniones,Pregnancy & Parenting,1
0, 13,Archivada,Yahoo Products,1
