Ranking,10,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,4
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2
,5,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,3
,4,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,3
,3,,,,1,,1,1,,1,,1,1,,1,,,,,,,1,,,1,,,,,,,,9
,2,,3,,,1,1,1,2,1,1,1,3,,1,,,,,,,,,,,1,,,,,,,16
,1,,5,10,17,15,16,21,15,21,19,13,20,9,10,11,3,7,6,4,,3,5,3,2,1,,1,,,,,237
,No encontrados,0,3,3,4,4,1,15,7,4,6,8,4,4,3,3,5,2,5,1,3,5,1,3,5,1,2,1,2,1,0,1,107
,Total Preguntas,0,11,14,22,21,22,39,24,31,26,23,28,13,15,15,9,9,11,5,4,10,6,6,8,3,2,3,2,1,0,1,384
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Total
,,,Largo de T’tulo (En palabras),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,